File Path,Creation Time
/Users/xander/Git/collection-assistant/gb_data/vancouversun.com/vancouversun.com.privacy-policy.png,1720737111.5137029
/Users/xander/Git/collection-assistant/gb_data/canada.ca/canada.ca.png,1720735295.4604642
/Users/xander/Git/collection-assistant/gb_data/canada.ca/canada.ca.privacy-policy.png,1720735295.7640812
/Users/xander/Git/collection-assistant/gb_data/canada.ca/canada.ca.withdraw.json,1720735295.9293835
/Users/xander/Git/collection-assistant/gb_data/canada.ca/canada.ca.html,1720735294.697542
/Users/xander/Git/collection-assistant/gb_data/canada.ca/canada.ca.no-interaction.json,1720735295.2481449
/Users/xander/Git/collection-assistant/gb_data/canada.ca/canada.ca.withdraw.mkv,1720735296.009144
/Users/xander/Git/collection-assistant/gb_data/canada.ca/canada.ca.privacy-policy.html,1720735295.6076138
/Users/xander/Git/collection-assistant/gb_data/canada.ca/canada.ca.levels.mkv,1720735295.0965483
/Users/xander/Git/collection-assistant/gb_data/dennikn.sk/dennikn.sk.no-interaction.json,1720735561.8203106
/Users/xander/Git/collection-assistant/gb_data/dennikn.sk/dennikn.sk.withdraw.mkv,1720735565.2018354
/Users/xander/Git/collection-assistant/gb_data/dennikn.sk/dennikn.sk.levels.mkv,1720735566.8564763
/Users/xander/Git/collection-assistant/gb_data/dennikn.sk/dennikn.sk.accept.json,1720735561.2561882
/Users/xander/Git/collection-assistant/gb_data/dennikn.sk/dennikn.sk.accept.mkv,1720735561.3932924
/Users/xander/Git/collection-assistant/gb_data/dennikn.sk/dennikn.sk.privacy-policy.html,1720735562.1629405
/Users/xander/Git/collection-assistant/gb_data/dennikn.sk/dennikn.sk.full-page.png,1720735561.6917076
/Users/xander/Git/collection-assistant/gb_data/dennikn.sk/dennikn.sk.png,1720735561.9361825
/Users/xander/Git/collection-assistant/gb_data/dennikn.sk/dennikn.sk.withdraw.json,1720735563.643488
/Users/xander/Git/collection-assistant/gb_data/dennikn.sk/dennikn.sk.reject.mkv,1720735565.7251742
/Users/xander/Git/collection-assistant/gb_data/dennikn.sk/dennikn.sk.privacy-policy.png,1720735563.0051515
/Users/xander/Git/collection-assistant/gb_data/dennikn.sk/dennikn.sk.html,1720735561.5869095
/Users/xander/Git/collection-assistant/gb_data/dennikn.sk/dennikn.sk.reject.json,1720735563.1870763
/Users/xander/Git/collection-assistant/gb_data/ilfattoquotidiano.it/ilfattoquotidiano.it.png,1720735912.0906043
/Users/xander/Git/collection-assistant/gb_data/ilfattoquotidiano.it/ilfattoquotidiano.it.html,1720735910.990505
/Users/xander/Git/collection-assistant/gb_data/ilfattoquotidiano.it/ilfattoquotidiano.it.privacy-policy.html,1720735912.0765002
/Users/xander/Git/collection-assistant/gb_data/ilfattoquotidiano.it/ilfattoquotidiano.it.accept.mkv,1720735909.2816365
/Users/xander/Git/collection-assistant/gb_data/ilfattoquotidiano.it/ilfattoquotidiano.it.withdraw.json,1720735912.8191795
/Users/xander/Git/collection-assistant/gb_data/ilfattoquotidiano.it/ilfattoquotidiano.it.full-page.png,1720735910.8525572
/Users/xander/Git/collection-assistant/gb_data/ilfattoquotidiano.it/ilfattoquotidiano.it.withdraw.mkv,1720735913.8253026
/Users/xander/Git/collection-assistant/gb_data/ilfattoquotidiano.it/ilfattoquotidiano.it.reject.json,1720735912.1845653
/Users/xander/Git/collection-assistant/gb_data/ilfattoquotidiano.it/ilfattoquotidiano.it.reject.mkv,1720735917.0388587
/Users/xander/Git/collection-assistant/gb_data/ilfattoquotidiano.it/ilfattoquotidiano.it.no-interaction.json,1720735911.9464087
/Users/xander/Git/collection-assistant/gb_data/ilfattoquotidiano.it/ilfattoquotidiano.it.accept.json,1720735908.3265543
/Users/xander/Git/collection-assistant/gb_data/ilfattoquotidiano.it/ilfattoquotidiano.it.levels.mkv,1720735924.001715
/Users/xander/Git/collection-assistant/gb_data/ilfattoquotidiano.it/ilfattoquotidiano.it.privacy-policy.png,1720735912.6973872
/Users/xander/Git/collection-assistant/gb_data/ampparit.com/ampparit.com.levels.mkv,1720735061.274693
/Users/xander/Git/collection-assistant/gb_data/ampparit.com/ampparit.com.withdraw.mkv,1720735055.6712708
/Users/xander/Git/collection-assistant/gb_data/ampparit.com/ampparit.com.privacy-policy.html,1720735053.6454756
/Users/xander/Git/collection-assistant/gb_data/ampparit.com/ampparit.com.html,1720735053.3239202
/Users/xander/Git/collection-assistant/gb_data/ampparit.com/ampparit.com.reject.json,1720735054.0850546
/Users/xander/Git/collection-assistant/gb_data/ampparit.com/ampparit.com.privacy-policy.png,1720735053.8960447
/Users/xander/Git/collection-assistant/gb_data/ampparit.com/ampparit.com.png,1720735053.480047
/Users/xander/Git/collection-assistant/gb_data/ampparit.com/ampparit.com.full-page.png,1720735053.2464576
/Users/xander/Git/collection-assistant/gb_data/ampparit.com/ampparit.com.reject.mkv,1720735054.835169
/Users/xander/Git/collection-assistant/gb_data/ampparit.com/ampparit.com.withdraw.json,1720735055.02004
/Users/xander/Git/collection-assistant/gb_data/ampparit.com/ampparit.com.no-interaction.json,1720735053.4578753
/Users/xander/Git/collection-assistant/gb_data/ampparit.com/ampparit.com.accept.mkv,1720735052.9460824
